age,income,education,married,children,purchase_amount,gender_Female,gender_Male,occupation_Artist,occupation_Businessman,occupation_Doctor,occupation_Engineer,occupation_HR,occupation_Housewife,occupation_Lawyer,occupation_Retired,occupation_Salesman,occupation_Scientist,occupation_Unemployed,beauty,books,clothing,electronics,food,furniture,home,sports
41,64472.841977903365,4,1,2,76.94898317887817,False,True,False,False,False,False,False,False,False,False,False,True,False,0,1,0,0,0,0,1,1
19,46421.930830034784,4,1,2,108.92300456138298,False,True,False,True,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,0,1
28,42792.33525235512,2,1,2,93.00719862417348,True,False,False,True,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,1,0
34,50458.70695248991,2,0,1,109.91018778791812,True,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,1
32,43808.07194185178,3,1,0,97.58513925005512,False,True,False,True,False,False,False,False,False,False,False,False,False,0,0,1,1,0,0,1,1
60,50298.468526412944,3,0,0,102.74446159679812,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,1,0,0,1,0,0
36,49939.40565756932,3,0,2,109.47384861127668,False,True,False,False,False,False,False,False,False,True,False,False,False,1,0,1,0,0,0,0,0
30,75087.8754300739,2,1,0,117.5142301427671,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,1,1,0,0
21,55900.65834334106,2,1,0,97.65708275942124,True,False,False,False,False,True,False,False,False,False,False,False,False,0,1,1,1,0,0,1,0
22,43315.95489189834,2,0,1,142.1895117433039,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,1,0,1
44,67543.42980101,4,1,2,67.32506450923921,True,False,False,False,False,False,False,False,True,False,False,False,False,1,1,0,0,0,0,0,0
18,64144.78205467261,3,1,1,100.01279800687948,False,True,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,0,0,0,0
46,60468.953352239616,3,1,2,103.70231047958572,True,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0,1,0,0,0,0
46,61425.58928182784,3,0,1,119.41931185661169,False,True,True,False,False,False,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0
19,44284.05483724431,3,0,0,102.88940647360394,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0,1,0,1,0,0,1
37,46212.64420248324,2,1,0,83.48627226674893,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,1,0,1,1
58,51057.8931668608,2,1,1,133.76108247015858,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,1,0
59,50176.11986300034,4,0,0,87.23789113613594,False,True,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1
54,48484.66522847292,1,0,3,77.03417974003057,True,False,False,False,False,False,False,False,False,False,True,False,False,1,0,1,0,0,1,1,1
35,40317.99384578232,1,1,0,104.8357384975308,True,False,False,False,False,False,True,False,False,False,False,False,False,0,1,0,1,0,0,0,0
42,58886.92958347335,1,1,3,152.1042844097258,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,1,1,1,0,0,0
25,52708.9502633992,4,0,3,108.9685492131818,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,1,1,0,1,0,1
29,52268.35064266082,1,0,3,83.56369465523238,True,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,0,1,0
59,47076.5853663922,4,0,3,127.54793571644846,True,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0,0,1,0,0,0
33,63572.50302465411,3,1,2,120.03972952301362,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,1,0,0,1,0
45,58858.47709547151,3,0,0,89.29808853926384,False,True,False,False,False,False,False,False,False,True,False,False,False,1,1,1,0,1,1,1,1
19,50332.89220106663,1,0,2,120.83707787970197,True,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,1
24,44552.09894748906,1,0,0,121.68514597910908,True,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0
44,42183.725846177535,3,0,1,80.53649282514672,True,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,1,0,1,0,0
30,54987.27776667199,1,0,2,62.24209518813997,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,1,1,0,0
44,68786.93111812898,4,0,0,133.8278596938748,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,1,0,0,0,0,0
46,39312.647642314994,3,0,1,112.1646496065308,True,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,1,1,0,0
46,40586.188382626206,2,0,1,108.01887297227418,True,False,False,False,True,False,False,False,False,False,False,False,False,1,1,0,1,0,1,1,0
37,43664.679377202105,4,1,0,108.95798381470098,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,1
30,51386.376828099455,3,1,3,86.46898786157861,False,True,False,False,True,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,0
49,60730.37778693777,3,1,0,105.16819387916388,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,1,1,0,1,1
59,43437.66527663413,2,0,1,70.93218278958771,False,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,1,0,0,0,0
57,59157.50778260416,1,0,0,119.54070902643262,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,1,1,1,0
63,38978.55492161637,2,1,0,94.20188994818538,False,True,False,False,False,False,False,False,False,False,True,False,False,1,0,1,1,1,0,0,1
48,59511.36284774721,4,1,3,117.15387858365234,False,True,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,1,1,0,0
59,27444.718353823373,4,0,0,71.06223505534149,True,False,False,False,False,False,False,True,False,False,False,False,False,0,1,0,1,0,1,1,0
28,36344.0561432044,2,0,1,119.72085203956344,True,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0,0,0,0,0,1
54,39234.47540182588,4,1,3,111.32002100527478,False,True,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0,1,0
28,37749.20367053849,3,0,3,107.20278024795503,False,True,False,False,False,False,False,True,False,False,False,False,False,1,1,0,1,0,1,0,0
26,69052.16320279146,1,1,3,107.7798689021385,False,True,False,False,False,True,False,False,False,False,False,False,False,1,0,0,1,0,0,0,0
60,61633.95499867969,1,1,3,92.09842384693746,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0,1,0,1,0,0
57,38620.05971835416,2,1,1,148.79277138257936,False,True,False,False,False,False,False,False,False,True,False,False,False,1,0,1,0,0,0,0,0
54,38425.71297552007,2,0,3,69.44348085656642,False,True,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,1,0,0,0
39,45885.22781553298,4,1,3,107.9415097827092,True,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,1,0
39,62148.03699185756,2,0,2,109.61990335398502,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0,0,0,1,1
61,49355.04283382429,3,1,0,86.6034234376809,True,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,1,0,0,1,0
34,54599.183571187,1,1,1,73.15260605310922,False,True,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,0,0,0
31,50614.65394535648,3,1,0,101.57008974046218,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0,1,1,0,0,0,1
59,59036.06194046724,3,1,2,102.1103571047264,False,True,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,1,0,1
28,50445.15412165557,2,1,1,83.59310906937672,False,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,1,0,0,0
62,43882.13176346871,1,0,3,130.20135644276812,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,1,0,1,0,1,0
42,56639.40724566175,2,0,3,109.07075336679031,True,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0
59,34965.86189289492,4,1,0,85.79361312203794,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,1
57,72345.80098537011,2,0,3,80.33583959074065,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,1,0,1
42,55035.68790560127,2,1,3,65.47755154471508,True,False,False,True,False,False,False,False,False,False,False,False,False,0,1,0,1,0,0,0,0
20,34251.088241745885,3,0,3,102.5766776337194,True,False,False,False,False,False,True,False,False,False,False,False,False,0,1,1,1,0,1,0,0
29,64631.57099139107,1,1,0,96.4556232972292,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,0,1,0,0
18,59967.79431552856,2,0,2,136.66211963114833,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,1,0,0,0,0,0
20,54805.897292260335,2,0,0,106.76531244820237,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,1,0,0,0
64,45154.21825690305,2,0,2,130.96284101842534,False,True,False,False,False,True,False,False,False,False,False,False,False,0,1,0,1,1,0,1,0
41,47743.07089598851,2,1,1,101.39177791302724,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,1
38,58398.34152424912,3,1,3,106.8157666822387,True,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0,0,0,0,0,0
63,47029.70751225779,1,1,1,103.82039958874594,False,True,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,1,1,0,0
56,37581.20008285688,4,1,1,105.69879000028337,False,True,False,True,False,False,False,False,False,False,False,False,False,0,1,0,1,0,0,0,0
19,50207.08818792024,2,1,1,117.08315853161986,True,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,1,0,0
37,36177.548600842885,3,0,1,75.09759212958011,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0,1,0,0,0,0,0
53,52297.72475799402,4,0,3,124.57436345079697,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,1,0,0,1
42,28861.045758425596,2,1,3,97.13405699892292,False,True,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0,0,0,1,0
30,47752.48374901555,3,1,1,112.3533311003374,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,1,0,1
26,55388.50391220515,4,0,3,121.24480969208476,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0,1,0,1,0,0,0
19,58379.11735627212,3,1,3,88.0966031735532,True,False,False,False,False,False,False,False,False,False,False,False,True,1,1,1,0,0,1,0,0
26,37369.758651526296,3,1,2,80.51780528313597,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,1,1,0,0,0,0
60,52863.2511645928,1,0,0,73.31997097607939,True,False,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,1,1,0
25,40244.79186179504,3,1,3,121.05054892817884,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,1,0,1,0,1,0
56,52933.39509119272,1,1,3,88.11838935176107,False,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0,1,1,0,0,0
61,45173.70398776537,2,0,0,69.865524457015,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,1,1,0,1,1,1
35,42020.98015569148,1,1,2,95.4600340896415,True,False,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,1
46,35544.71892432515,3,1,3,119.05836082503562,True,False,False,True,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,1
19,39170.14632314387,2,1,1,116.05665044756869,True,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0,0,0,1,0,0
28,28561.80636606733,1,0,3,57.32725465766404,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,1,0,0,0,0
18,39919.420869221794,1,1,1,132.3168880333956,True,False,False,False,False,False,False,False,True,False,False,False,False,1,1,1,0,1,1,0,1
24,56963.66483273482,4,1,1,101.67294353289198,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,0,0,0,0
51,47598.37570753211,3,0,2,87.55564392763273,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,1,0,1,1,0,1
21,61799.35426607131,4,1,0,99.99440953414168,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,1,1,0,1,0
43,34228.79217218485,3,1,1,97.43900600074168,False,True,True,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,1,1
20,51930.31968201012,4,0,2,127.16043657865076,True,False,False,False,False,True,False,False,False,False,False,False,False,1,1,0,0,0,1,0,1
43,76924.82934107931,1,0,1,115.86873266503252,True,False,False,True,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,0
35,58154.646025331815,2,0,1,131.9196771484969,False,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,0,0
28,32884.17526836677,2,0,2,82.12934838099865,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,1,0,0
49,44994.23754398986,3,1,1,105.31721272525668,False,True,False,False,False,False,False,True,False,False,False,False,False,0,1,1,0,0,0,1,0
37,66667.41151126674,1,1,3,106.91469460181143,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0
25,48024.71751373533,3,0,3,83.67848480895628,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,1,1,1,0
37,59131.56890402645,1,1,3,104.37593582939124,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,1
43,48004.02667859703,4,1,1,97.67351330948136,True,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,0,0,0
21,40825.92690558694,2,1,2,85.20508296914205,True,False,False,False,False,False,True,False,False,False,False,False,False,1,1,1,1,1,0,0,0
22,61574.558322846686,3,0,2,85.53811194832929,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0,1,0,0,0,0
54,53155.35250270695,1,1,0,143.68287280620157,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,1,0,0
35,56620.4177051776,3,1,2,117.04479051312975,False,True,True,False,False,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0
36,56469.440625551135,2,1,1,92.08922059000238,False,True,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,1,0,1,0
63,58872.1412178482,2,1,2,72.28416466641877,False,True,False,True,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,1,0
40,49712.239712718205,2,0,1,98.65653776206403,False,True,False,False,False,False,False,False,False,False,False,True,False,0,1,1,0,0,0,0,1
29,56094.52476475081,4,1,0,79.25226145311936,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,0,0,0
35,48182.076856045605,2,1,3,104.05842481995458,False,True,False,True,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0
20,43764.52125748605,3,1,0,79.34265249970305,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,1,1,0,1,0,0
61,63204.60055200507,4,0,1,95.53423976583518,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0
47,31942.00315126836,2,0,2,97.41656327803004,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1,0,0,0,0,0
56,48322.15365584005,2,0,1,160.897159355984,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0
28,37105.50531457811,2,1,3,105.88634349908172,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0
23,38509.32990814546,1,1,3,95.72730350132514,False,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,1
27,65173.54620630821,2,0,0,113.80760925033498,True,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0
23,54976.46461051306,1,1,2,97.53958768570692,True,False,False,False,False,False,False,True,False,False,False,False,False,1,1,1,0,0,0,0,0
50,37941.65210752496,4,1,2,122.86901572018128,False,True,False,False,False,False,False,False,False,True,False,False,False,0,1,0,1,0,0,0,0
42,57927.26103794576,3,0,0,87.42069172216185,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,1,1,0,0
33,59907.215676412095,2,1,0,77.33775888083545,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,1,0,1,0,0,1
40,40544.47583357694,3,1,0,76.52994461528864,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0
46,42805.49284357016,2,1,2,88.39364037812132,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,1,1,1,0
64,61381.60340443374,3,0,2,82.46240386282504,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,1
28,55586.95770104409,3,1,3,134.06348163858328,False,True,False,True,False,False,False,False,False,False,False,False,False,1,0,1,0,0,1,0,0
59,58732.59608234798,4,1,0,119.48387774439088,True,False,True,False,False,False,False,False,False,False,False,False,False,0,1,0,0,1,1,0,0
28,37177.542362421314,2,0,1,80.1122522855367,False,True,False,False,False,False,False,False,False,False,False,False,True,0,1,0,1,0,0,0,1
18,57373.84165713485,1,0,2,120.88609708875002,True,False,False,True,False,False,False,False,False,False,False,False,False,1,0,1,0,0,1,0,1
57,48119.14331465648,4,0,0,123.84689153774136,True,False,False,False,False,False,True,False,False,False,False,False,False,0,1,1,1,1,1,1,1
59,35559.61354099553,2,0,3,116.14379689525695,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,1,1,0,1,0
32,44594.67780387936,3,0,3,115.10709879086576,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,0
34,50828.329692849125,2,0,1,73.58187046136766,True,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1
29,43998.65828879128,1,1,1,122.63246344952324,True,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,1,1,0,0
26,48084.25063793769,2,0,1,97.3301923792665,False,True,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0
51,45883.30335613441,1,0,3,94.142460908001,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0,1,1,0,0,1,1
48,37206.84992790919,1,1,1,104.25376890094336,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0
39,66729.59290028003,3,1,2,115.43277317856996,False,True,False,True,False,False,False,False,False,False,False,False,False,0,0,1,0,1,0,0,1
39,40442.82803464994,2,0,3,130.7067487425539,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,1,0,0,1
47,57093.751393987215,4,0,2,105.56591755898152,True,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0
47,56175.8284301869,4,1,3,94.5703254218571,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,1
24,49166.10922807182,3,0,0,131.47503317675182,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0
35,39974.76849222832,2,1,0,90.56047936318258,True,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0
46,55020.459283507975,1,1,3,79.41606181712672,True,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,1,0,0,0,1
41,48041.10577887922,2,1,1,107.37673758682158,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,1,0,0
29,51334.67173220038,4,0,0,113.65179569837692,True,False,False,False,False,True,False,False,False,False,False,False,False,0,1,1,0,0,0,1,1
23,44392.0592851408,2,0,0,119.83952569964316,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,1,0,1,1,0,0
35,48848.38197943839,4,1,1,103.62626472732045,True,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,1,1
20,54136.54117115017,4,0,0,118.04837193685032,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,1
30,56608.37874217612,2,1,1,114.93049390800716,False,True,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0,0,0
22,51436.31532026355,4,0,3,106.15464561976252,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0,0,1,0,0
50,56662.03788690525,3,1,2,83.48629203098977,False,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0
60,60031.95598301547,4,0,2,89.08587333616671,True,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0,0,0,1,0,1
37,59076.21151915621,2,0,2,99.21382501790964,True,False,False,False,False,False,False,False,False,True,False,False,False,1,0,1,0,0,0,0,0
36,55790.20180695419,3,1,0,122.99068851311404,False,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,1,0,0,0
33,47160.15198044779,3,1,2,85.2281004304505,False,True,True,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,1,1,1
35,43700.35730347398,1,0,0,116.56716231295226,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,1,0,0,1
50,61639.86076485663,3,0,2,76.19743577329388,True,False,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,0,0,0,0
53,44814.570051180526,2,1,3,107.54667441940616,False,True,False,False,False,False,False,False,False,False,True,False,False,0,1,1,0,0,0,0,0
27,51920.6213093541,3,1,2,90.31476590993697,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0
23,57452.30828443152,2,1,3,113.3811488445602,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,1,1,1
56,55229.773712531256,3,1,2,97.46166717734808,True,False,False,False,False,False,False,False,False,False,True,False,False,1,0,1,1,1,0,1,0
48,47365.58912285546,3,0,1,86.24310346179693,True,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,1,1,0,0
39,35591.54265716193,1,1,3,83.82869023697364,False,True,False,False,False,False,True,False,False,False,False,False,False,1,0,0,1,0,1,1,0
32,53227.64266633491,2,0,1,121.11771074318234,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0,0,1,1,0,0,1
62,45523.381159206045,1,1,3,123.09583778578616,False,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0,1,1
61,42383.32687513068,1,0,0,77.52421543888428,False,True,False,True,False,False,False,False,False,False,False,False,False,0,1,1,0,0,0,1,0
27,54916.56577984486,4,0,3,92.94613892709737,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,1,0,0
60,34245.239256631256,3,1,2,154.19450801081456,True,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,1,0,0
20,39485.64864938365,4,0,0,121.8178521982308,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0,1,0,0,1,0,1
26,57460.53707650372,4,0,2,88.31089415122311,False,True,False,True,False,False,False,False,False,False,False,False,False,1,0,1,0,1,1,0,0
38,40634.37163357393,1,0,3,84.94746371337614,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,1,0,0,1,1,0
59,36177.04488387998,1,0,1,70.36387622920475,False,True,False,False,False,False,False,False,False,True,False,False,False,1,0,1,0,0,0,0,1
20,59860.87947048508,2,1,1,104.81988227455284,False,True,False,False,True,False,False,False,False,False,False,False,False,1,0,0,1,0,0,0,0
